"question,answer,category,complexity"
"""Comment sélectionner toutes les colonnes d'une table?"",""Pour sélectionner toutes les colonnes d'une table, utilisez l'astérisque (*) dans votre clause SELECT. Exemple: SELECT * FROM nom_table;"",""syntaxe_basique"",""débutant"""
"""Quelle est la différence entre INNER JOIN et LEFT JOIN?"",""Un INNER JOIN retourne uniquement les lignes qui ont des correspondances dans les deux tables. Un LEFT JOIN retourne toutes les lignes de la table de gauche et les lignes correspondantes de la table de droite (ou NULL s'il n'y a pas de correspondance). Exemple INNER JOIN: SELECT * FROM table1 INNER JOIN table2 ON table1.id = table2.id; Exemple LEFT JOIN: SELECT * FROM table1 LEFT JOIN table2 ON table1.id = table2.id;"",""jointures"",""intermédiaire"""
"""Comment regrouper les résultats d'une requête SQL?"",""Utilisez la clause GROUP BY pour regrouper les résultats selon une ou plusieurs colonnes. Souvent utilisée avec des fonctions d'agrégation comme COUNT, SUM, AVG. Exemple: SELECT département, COUNT(*) as nombre_employés FROM employés GROUP BY département;"",""agrégation"",""intermédiaire"""
"""Comment créer un index sur une colonne?"",""Pour créer un index sur une colonne, utilisez la syntaxe CREATE INDEX. Exemple: CREATE INDEX idx_nom ON table(colonne); Pour un index unique: CREATE UNIQUE INDEX idx_email ON utilisateurs(email);"",""optimisation"",""intermédiaire"""
"""Comment insérer des données dans une table?"",""Pour insérer des données, utilisez la commande INSERT INTO. Exemple: INSERT INTO clients (nom, email, téléphone) VALUES ('Dubois', 'dubois@example.com', '0123456789');"",""manipulation_données"",""débutant"""
"""Qu'est-ce qu'une clé primaire?"",""Une clé primaire est une colonne ou un ensemble de colonnes qui identifie de manière unique chaque enregistrement dans une table. Elle ne peut pas contenir de valeurs NULL et doit être unique. Exemple de création: CREATE TABLE produits (id INT PRIMARY KEY, nom VARCHAR(100), prix DECIMAL(10,2));"",""conception"",""débutant"""
"""Comment mettre à jour des données existantes?"",""Utilisez la commande UPDATE pour modifier des données existantes. Exemple: UPDATE employés SET salaire = salaire * 1.1 WHERE département = 'Ventes';"",""manipulation_données"",""débutant"""
"""Comment supprimer des enregistrements d'une table?"",""Utilisez la commande DELETE pour supprimer des enregistrements. Exemple: DELETE FROM commandes WHERE date_commande < '2020-01-01'; ATTENTION: Sans clause WHERE, tous les enregistrements seront supprimés."",""manipulation_données"",""débutant"""
"""Qu'est-ce qu'une sous-requête (subquery)?"",""Une sous-requête est une requête imbriquée dans une autre requête. Elle peut être utilisée dans les clauses SELECT, FROM, WHERE et HAVING. Exemple: SELECT nom FROM employés WHERE département_id IN (SELECT id FROM départements WHERE localisation = 'Paris');"",""requêtes_avancées"",""avancé"""
"""Comment utiliser la fonction CASE en SQL?"",""CASE permet d'ajouter une logique conditionnelle dans une requête SQL. Exemple: SELECT nom, prénom, CASE WHEN salaire > 50000 THEN 'Senior' WHEN salaire > 30000 THEN 'Intermédiaire' ELSE 'Junior' END AS niveau FROM employés;"",""fonctions"",""intermédiaire"""
"""Comment créer une vue en SQL?"",""Une vue est une table virtuelle basée sur le résultat d'une requête SQL. Créez-la avec CREATE VIEW. Exemple: CREATE VIEW employés_paris AS SELECT * FROM employés WHERE ville = 'Paris';"",""objets_base"",""intermédiaire"""
"""Comment utiliser UNION et UNION ALL?"",""UNION combine les résultats de deux requêtes en éliminant les doublons. UNION ALL fait de même mais conserve les doublons. Exemple: SELECT nom FROM clients UNION SELECT nom FROM prospects;"",""requêtes_avancées"",""intermédiaire"""
"""Qu'est-ce que la normalisation de base de données?"",""La normalisation est un processus de conception qui réduit la redondance des données et améliore l'intégrité en divisant les tables en structures plus petites et bien organisées. Les principales formes normales sont 1NF, 2NF, 3NF, BCNF, 4NF et 5NF, chacune avec des règles spécifiques pour éliminer différents types de dépendances."",""conception"",""avancé"""
"""Comment optimiser une requête SQL lente?"",""Pour optimiser une requête lente: 1) Utilisez EXPLAIN pour analyser le plan d'exécution, 2) Ajoutez des index appropriés sur les colonnes fréquemment utilisées dans WHERE et JOIN, 3) Évitez SELECT * et ne sélectionnez que les colonnes nécessaires, 4) Limitez les résultats avec LIMIT, 5) Réécrivez les sous-requêtes en JOIN quand c'est possible, 6) Évitez les fonctions sur les colonnes indexées dans WHERE."",""optimisation"",""avancé"""
"""Qu'est-ce qu'une transaction SQL?"",""Une transaction est une unité de travail qui regroupe plusieurs opérations SQL qui doivent être exécutées ensemble. Les transactions suivent les propriétés ACID (Atomicité, Cohérence, Isolation, Durabilité). Exemple: BEGIN TRANSACTION; UPDATE comptes SET solde = solde - 100 WHERE id = 1; UPDATE comptes SET solde = solde + 100 WHERE id = 2; COMMIT;"",""transactions"",""intermédiaire"""
